hour,bus,P_thermal_MW,P_solar_MW,P_wind_MW,P_demand_MW,P_curtailment_MW
9,11,0.0,670.2515739,188.3810303,1199.28003,0.0
9,12,0.0,7.123687576,291.3457195,1780.4683,0.0
9,13,4335.456447983238,67.5795098,46.63540589,1416.784273,0.0
9,14,1100.0,215.880114,68.4651261,1999.102402,0.0
9,15,0.0,1.732351297,1.892346413,1079.32422,0.0
9,16,2993.954704849017,21.38401489,11.42510312,2394.578885,0.0
9,17,0.0,371.0459022,137.1732486,706.2196821,0.0
9,18,0.0,1752.061245,147.5569857,803.4294593,0.0
9,19,1060.0,67.5795098,46.63540589,2494.820899,0.0
10,1,1148.6126626923458,2003.340847,166.5170392,1107.745151,0.0
10,2,0.0,1274.90353,82.89450129,1526.267126,0.0
10,3,0.0,1274.90353,82.89450129,1045.122469,0.0
10,4,500.0,84.21934781,0.084232575,2793.941968,0.0
10,5,0.0,876.5150746,333.7320585,1438.212936,0.0
10,6,0.0,979.3206591,13.19371553,985.615039,0.0
10,7,449.9999999999997,424.2610891,154.7990635,1183.215469,0.0
10,8,0.0,1274.90353,82.89450129,1432.557636,0.0
10,9,0.0,3847.628678,8.26035835,798.3419448,1099.4204710767635
10,10,119.99999999999858,424.2610891,154.7990635,1163.31823,0.0
10,11,0.0,766.3786637,212.5866915,1207.375544,0.0
10,12,1500.0,8.145362694,328.7816321,1792.487016,0.0
10,13,4345.1831068967185,77.27172368,52.62773343,1426.348009,0.0
10,14,1100.0,246.841514,77.26242191,2012.596966,0.0
10,15,83.12470067270823,1.98080411,2.135499856,1086.609995,0.0
10,16,0.0,24.45089783,12.89314996,2410.743039,0.0
10,17,0.0,424.2610891,154.7990635,710.9868851,0.0
10,18,0.0,2003.340847,166.5170392,808.8528587,0.0
10,19,1060.0,77.27172368,52.62773343,2511.661718,0.0
11,1,879.8211477936204,2094.594167,193.8562382,1102.860771,0.0
11,2,0.0,1332.976114,96.50433531,1519.537357,0.0
